Year,Month_Name,Date,State,Vehicle_Class,Vehicle_Category,Vehicle_Type,EV_Sales_Quantity
2014,jan,1/1/2014,Andhra Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2014,jan,1/1/2014,Chhattisgarh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,10
2014,jan,1/1/2014,Delhi,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,2
2014,jan,1/1/2014,Delhi,MOTOR CAR,4-Wheelers,4W_Personal,5
2014,jan,1/1/2014,Goa,MOTOR CAR,4-Wheelers,4W_Personal,1
2014,jan,1/1/2014,Gujarat,AGRICULTURAL TRACTOR,Others,Others,1
2014,jan,1/1/2014,Gujarat,FORK LIFT,Others,Others,1
2014,jan,1/1/2014,Gujarat,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,14
2014,jan,1/1/2014,Himachal Pradesh,MOTOR CAR,4-Wheelers,4W_Personal,1
2014,jan,1/1/2014,Haryana,AGRICULTURAL TRACTOR,Others,Others,1
2014,jan,1/1/2014,Haryana,MOTOR CAR,4-Wheelers,4W_Personal,1
2014,jan,1/1/2014,Jharkhand,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,1
2014,jan,1/1/2014,Karnataka,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,18
2014,jan,1/1/2014,Karnataka,MOPED,2-Wheelers,2W_Personal,6
2014,jan,1/1/2014,Karnataka,MOTOR CAB,4-Wheelers,4W_Shared,1
2014,jan,1/1/2014,Karnataka,MOTOR CAR,4-Wheelers,4W_Personal,19
2014,jan,1/1/2014,Kerala,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,3
2014,jan,1/1/2014,Kerala,MOTOR CAR,4-Wheelers,4W_Personal,1
2014,jan,1/1/2014,Maharashtra,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,78
2014,jan,1/1/2014,Maharashtra,MOPED,2-Wheelers,2W_Personal,4
2014,jan,1/1/2014,Maharashtra,MOTOR CAR,4-Wheelers,4W_Personal,3
2014,jan,1/1/2014,Madhya Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,4
2014,jan,1/1/2014,Odisha,GOODS CARRIER,Others,Others,1
2014,jan,1/1/2014,Odisha,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,2
2014,jan,1/1/2014,Odisha,MOPED,2-Wheelers,2W_Personal,3
2014,jan,1/1/2014,Odisha,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,1
2014,jan,1/1/2014,Punjab,AGRICULTURAL TRACTOR,Others,Others,1
2014,jan,1/1/2014,Punjab,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2014,jan,1/1/2014,Punjab,MOPED,2-Wheelers,2W_Personal,4
2014,jan,1/1/2014,Puducherry,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,2
2014,jan,1/1/2014,Rajasthan,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,4
2014,jan,1/1/2014,Tamil Nadu,AGRICULTURAL TRACTOR,Others,Others,4
2014,jan,1/1/2014,Tamil Nadu,CAMPER VAN / TRAILER (PRIVATE USE),Others,Others,5
2014,jan,1/1/2014,Tamil Nadu,GOODS CARRIER,Others,Others,2
2014,jan,1/1/2014,Tamil Nadu,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,7
2014,jan,1/1/2014,Tamil Nadu,MOPED,2-Wheelers,2W_Personal,2
2014,jan,1/1/2014,Tamil Nadu,MOTOR CAR,4-Wheelers,4W_Personal,1
2014,jan,1/1/2014,Tamil Nadu,TRAILER (AGRICULTURAL),Others,Others,1
2014,jan,1/1/2014,Tamil Nadu,TRAILER (COMMERCIAL),Others,Others,4
2014,jan,1/1/2014,Uttarakhand,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,3
2014,jan,1/1/2014,Uttar Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,6
2014,jan,1/1/2014,West Bengal,MOTOR CAR,4-Wheelers,4W_Personal,1
2014,jan,1/1/2014,Jammu and Kashmir,GOODS CARRIER,Others,Others,1
2015,jan,1/1/2015,Andhra Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2015,jan,1/1/2015,Assam,TRAILER (COMMERCIAL),Others,Others,2
2015,jan,1/1/2015,Chhattisgarh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,6
2015,jan,1/1/2015,Delhi,ADAPTED VEHICLE,Others,Others,1
2015,jan,1/1/2015,Delhi,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,2
2015,jan,1/1/2015,Delhi,MOTOR CAR,4-Wheelers,4W_Personal,3
2015,jan,1/1/2015,Goa,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2015,jan,1/1/2015,Haryana,MOTOR CAR,4-Wheelers,4W_Personal,1
2015,jan,1/1/2015,Jharkhand,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2015,jan,1/1/2015,Karnataka,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,12
2015,jan,1/1/2015,Karnataka,M-CYCLE/SCOOTER-WITH SIDE CAR,2-Wheelers,2W_Personal,1
2015,jan,1/1/2015,Karnataka,MOTOR CAR,4-Wheelers,4W_Personal,55
2015,jan,1/1/2015,Karnataka,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,1
2015,jan,1/1/2015,Kerala,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2015,jan,1/1/2015,Kerala,MOTOR CAR,4-Wheelers,4W_Personal,1
2015,jan,1/1/2015,Maharashtra,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,55
2015,jan,1/1/2015,Maharashtra,MOPED,2-Wheelers,2W_Personal,4
2015,jan,1/1/2015,Maharashtra,MOTOR CAR,4-Wheelers,4W_Personal,11
2015,jan,1/1/2015,Madhya Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,2
2015,jan,1/1/2015,Odisha,MOPED,2-Wheelers,2W_Personal,1
2015,jan,1/1/2015,Punjab,MOPED,2-Wheelers,2W_Personal,1
2015,jan,1/1/2015,Rajasthan,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2015,jan,1/1/2015,Tamil Nadu,AGRICULTURAL TRACTOR,Others,Others,1
2015,jan,1/1/2015,Tamil Nadu,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2015,jan,1/1/2015,Tamil Nadu,MOTOR CAR,4-Wheelers,4W_Personal,2
2015,jan,1/1/2015,Tamil Nadu,TRAILER (AGRICULTURAL),Others,Others,4
2015,jan,1/1/2015,Tamil Nadu,TRAILER (COMMERCIAL),Others,Others,1
2015,jan,1/1/2015,Uttar Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2016,jan,1/1/2016,Andhra Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2016,jan,1/1/2016,Assam,TRAILER (COMMERCIAL),Others,Others,2
2016,jan,1/1/2016,Bihar,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,35
2016,jan,1/1/2016,Chhattisgarh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,8
2016,jan,1/1/2016,Delhi,ADAPTED VEHICLE,Others,Others,1
2016,jan,1/1/2016,Delhi,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,1075
2016,jan,1/1/2016,Delhi,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,6
2016,jan,1/1/2016,Delhi,MOTOR CAR,4-Wheelers,4W_Personal,8
2016,jan,1/1/2016,Goa,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2016,jan,1/1/2016,Gujarat,BUS,Bus,Bus,1
2016,jan,1/1/2016,Gujarat,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,3
